2
01101746B7,06/10/2019 14:20:15,LSSI3,1
01101746B7,06/10/2019 14:20:25,LSSI3,1
01101746B7,06/10/2019 14:20:34,LSSI3,1
01101746B7,06/10/2019 14:20:43,LSSI3,1
01101746B7,06/10/2019 14:20:52,LSSI3,1
01101746B7,06/10/2019 14:21:02,LSSI3,2
011016FB06,06/10/2019 15:11:28,LSSI3,2
011016FB06,06/10/2019 15:11:38,LSSI3,2
011016FB06,06/10/2019 15:11:47,LSSI3,2
011016FB06,06/10/2019 15:11:56,LSSI3,2
011016FB06,06/10/2019 17:17:46,LSSI3,2
011016FB06,06/10/2019 17:17:55,LSSI3,1
0110173A0E,06/10/2019 18:54:48,LSSI3,2
0110173A0E,06/10/2019 18:54:51,LSSI3,1
011017181F,06/10/2019 21:16:59,LSSI3,1
011017181F,06/10/2019 21:17:15,LSSI3,2
01101746B7,06/10/2019 21:30:21,LSSI3,2
01101746B7,06/10/2019 21:30:47,LSSI3,1
01101746B7,06/10/2019 21:32:50,LSSI3,1
01101746B7,06/10/2019 21:32:59,LSSI3,1
011016FB06,06/10/2019 21:37:32,LSSI3,1
011016FB06,06/11/2019 07:17:25,LSSI3,1
0110171C23,06/11/2019 07:53:03,LSSI3,1
0110171C23,06/11/2019 07:53:12,LSSI3,1
01101746B7,06/11/2019 08:31:49,LSSI3,1
01101746B7,06/11/2019 08:32:10,LSSI3,1
01101746B7,06/11/2019 08:32:24,LSSI3,1
01101746B7,06/11/2019 08:34:25,LSSI3,1
01101746B7,06/11/2019 08:37:09,LSSI3,1
01101746B7,06/11/2019 08:37:19,LSSI3,1
01101746B7,06/11/2019 08:39:10,LSSI3,1
01101746B7,06/11/2019 08:39:55,LSSI3,1
0110173A0E,06/11/2019 08:49:48,LSSI3,2
0110173A0E,06/11/2019 08:49:54,LSSI3,1
011016FB06,06/11/2019 09:11:28,LSSI3,1
011016FB06,06/11/2019 09:11:44,LSSI3,1
011016FE44,06/11/2019 10:19:33,LSSI3,2
011016FB06,06/11/2019 11:03:49,LSSI3,2
011016FB06,06/11/2019 11:03:59,LSSI3,2
011016FB06,06/11/2019 11:04:11,LSSI3,2
011016FB06,06/11/2019 11:04:29,LSSI3,1
011016FB06,06/11/2019 11:06:03,LSSI3,1
011016FB06,06/11/2019 11:06:12,LSSI3,1
011016FB06,06/11/2019 11:07:34,LSSI3,1
011016FB06,06/11/2019 11:08:01,LSSI3,1
011017181F,06/11/2019 12:08:12,LSSI3,2
0110171C23,06/11/2019 12:37:04,LSSI3,2
0110174FBA,06/11/2019 13:51:22,LSSI3,2
0110174FBA,06/11/2019 13:52:26,LSSI3,2
01101746B7,06/11/2019 14:31:10,LSSI3,2
01101746B7,06/11/2019 14:34:20,LSSI3,2
01101746B7,06/11/2019 14:35:30,LSSI3,2
01101746B7,06/11/2019 14:36:01,LSSI3,2
01101746B7,06/11/2019 14:37:09,LSSI3,1
011017181F,06/11/2019 15:27:10,LSSI3,1
011017181F,06/11/2019 15:27:19,LSSI3,1
011017181F,06/11/2019 16:28:43,LSSI3,2
0110174FBA,06/11/2019 16:31:56,LSSI3,2
0110174FBA,06/11/2019 16:32:05,LSSI3,2
0110174FBA,06/11/2019 16:32:17,LSSI3,2
0110174FBA,06/11/2019 16:32:26,LSSI3,2
0110174FBA,06/11/2019 16:32:35,LSSI3,2
0110174FBA,06/11/2019 16:32:45,LSSI3,2
0110171C23,06/11/2019 16:33:13,LSSI3,2
0110171C23,06/11/2019 16:33:51,LSSI3,2
0110171C23,06/11/2019 16:34:00,LSSI3,2
0110171C23,06/11/2019 16:34:09,LSSI3,2
011016FB06,06/11/2019 17:05:07,LSSI3,2
011016FB06,06/11/2019 17:07:10,LSSI3,2
0110171C23,06/11/2019 17:37:28,LSSI3,2
0110171C23,06/11/2019 17:37:37,LSSI3,2
0110171C23,06/11/2019 17:38:22,LSSI3,2
0110171C23,06/11/2019 17:38:59,LSSI3,2
0110171C23,06/11/2019 17:39:08,LSSI3,2
0110171C23,06/11/2019 17:39:17,LSSI3,2
0110171C23,06/11/2019 17:39:28,LSSI3,1
0110174FBA,06/11/2019 17:47:28,LSSI3,1
0110174FBA,06/11/2019 17:47:37,LSSI3,1
0110174FBA,06/11/2019 17:47:46,LSSI3,1
0110174FBA,06/11/2019 17:47:55,LSSI3,1
0110174FBA,06/11/2019 17:48:05,LSSI3,1
0110174FBA,06/11/2019 17:48:14,LSSI3,1
0110174FBA,06/11/2019 17:48:23,LSSI3,1
0110174FBA,06/11/2019 17:48:32,LSSI3,1
0110174FBA,06/11/2019 17:48:41,LSSI3,1
0110174FBA,06/11/2019 17:48:51,LSSI3,1
0110174FBA,06/11/2019 17:49:00,LSSI3,1
0110174FBA,06/11/2019 17:49:11,LSSI3,1
0110174FBA,06/11/2019 17:49:20,LSSI3,1
0110174FBA,06/11/2019 17:49:30,LSSI3,1
0110174FBA,06/11/2019 17:49:39,LSSI3,1
0110174FBA,06/11/2019 17:49:48,LSSI3,1
0110174FBA,06/11/2019 17:49:57,LSSI3,1
0110174FBA,06/11/2019 17:50:06,LSSI3,1
011016FE44,06/11/2019 18:11:53,LSSI3,1
011016FE44,06/11/2019 18:12:14,LSSI3,2
011017181F,06/11/2019 18:18:27,LSSI3,2
011017181F,06/11/2019 18:18:36,LSSI3,2
011017181F,06/11/2019 18:18:45,LSSI3,2
011017181F,06/11/2019 18:18:54,LSSI3,2
011017181F,06/11/2019 18:19:03,LSSI3,2
011017181F,06/11/2019 18:19:12,LSSI3,2
011017181F,06/11/2019 18:19:22,LSSI3,2
011017181F,06/11/2019 18:19:31,LSSI3,2
011017181F,06/11/2019 18:19:40,LSSI3,2
011017181F,06/11/2019 18:19:49,LSSI3,2
011017181F,06/11/2019 18:19:58,LSSI3,2
011017181F,06/11/2019 18:20:07,LSSI3,2
011017181F,06/11/2019 18:20:16,LSSI3,2
011017181F,06/11/2019 18:20:25,LSSI3,2
011017181F,06/11/2019 18:20:34,LSSI3,1
011016FB06,06/11/2019 19:16:19,LSSI3,1
011016FB06,06/11/2019 19:17:16,LSSI3,2
0110174FBA,06/11/2019 19:44:17,LSSI3,2
0110174FBA,06/11/2019 19:44:28,LSSI3,2
0110174FBA,06/11/2019 19:44:37,LSSI3,2
0110174FBA,06/11/2019 19:44:47,LSSI3,2
0110174FBA,06/11/2019 19:44:56,LSSI3,2
0110174FBA,06/11/2019 19:45:05,LSSI3,2
0110174FBA,06/11/2019 19:45:14,LSSI3,2
0110174FBA,06/11/2019 19:45:23,LSSI3,2
0110174FBA,06/11/2019 19:45:32,LSSI3,1
011017181F,06/11/2019 20:00:12,LSSI3,2
0110174FBA,06/11/2019 21:18:42,LSSI3,1
011016F9E7,06/11/2019 22:15:54,LSSI3,2
011016F9E7,06/12/2019 08:30:25,LSSI3,2
011016F9E7,06/12/2019 08:30:34,LSSI3,2
011016F9E7,06/12/2019 08:30:58,LSSI3,1
01101746B7,06/12/2019 08:33:07,LSSI3,1
01101746B7,06/12/2019 08:33:16,LSSI3,1
01101746B7,06/12/2019 08:33:25,LSSI3,1
01101746B7,06/12/2019 08:33:44,LSSI3,1
01101746B7,06/12/2019 08:34:41,LSSI3,1
01101746B7,06/12/2019 08:34:50,LSSI3,1
01101746B7,06/12/2019 08:34:59,LSSI3,1
01101746B7,06/12/2019 08:35:08,LSSI3,1
01101746B7,06/12/2019 08:35:17,LSSI3,1
01101746B7,06/12/2019 08:35:26,LSSI3,1
011016FE44,06/12/2019 08:38:12,LSSI3,1
011016FE44,06/12/2019 08:40:22,LSSI3,1
011016FE44,06/12/2019 08:42:01,LSSI3,1
011016FE44,06/12/2019 08:42:26,LSSI3,1
011016FE44,06/12/2019 08:42:40,LSSI3,1
011016FE44,06/12/2019 08:42:49,LSSI3,1
011016FE44,06/12/2019 08:43:40,LSSI3,2
0110174FBA,06/12/2019 08:45:39,LSSI3,2
0110174FBA,06/12/2019 08:48:09,LSSI3,2
0110174FBA,06/12/2019 08:48:18,LSSI3,2
0110174FBA,06/12/2019 08:48:27,LSSI3,2
0110174FBA,06/12/2019 08:48:36,LSSI3,2
0110174FBA,06/12/2019 08:49:00,LSSI3,2
0110174FBA,06/12/2019 08:49:27,LSSI3,1
011016FB06,06/12/2019 10:23:34,LSSI3,1
011016FB06,06/12/2019 10:23:45,LSSI3,1
011016FB06,06/12/2019 10:23:54,LSSI3,2
011016FB06,06/12/2019 11:12:08,LSSI3,2
011016FB06,06/12/2019 11:12:41,LSSI3,2
011016FB06,06/12/2019 11:12:50,LSSI3,1
01101746B7,06/12/2019 11:36:39,LSSI3,1
01101746B7,06/12/2019 11:37:01,LSSI3,1
01101746B7,06/12/2019 11:37:10,LSSI3,1
01101746B7,06/12/2019 11:37:19,LSSI3,1
01101746B7,06/12/2019 11:37:28,LSSI3,1
01101746B7,06/12/2019 11:37:49,LSSI3,1
01101746B7,06/12/2019 11:38:00,LSSI3,1
01101746B7,06/12/2019 11:38:12,LSSI3,1
01101746B7,06/12/2019 11:38:21,LSSI3,1
01101746B7,06/12/2019 11:38:30,LSSI3,1
01101746B7,06/12/2019 11:38:39,LSSI3,1
01101746B7,06/12/2019 11:38:47,LSSI3,1
01101746B7,06/12/2019 11:38:56,LSSI3,1
01101746B7,06/12/2019 11:39:05,LSSI3,1
01101746B7,06/12/2019 11:39:14,LSSI3,1
01101746B7,06/12/2019 11:39:22,LSSI3,1
01101746B7,06/12/2019 11:39:31,LSSI3,1
01101746B7,06/12/2019 11:39:41,LSSI3,1
01101746B7,06/12/2019 11:39:50,LSSI3,1
01101746B7,06/12/2019 11:39:58,LSSI3,1
01101746B7,06/12/2019 11:40:07,LSSI3,1
01101746B7,06/12/2019 11:40:16,LSSI3,1
01101746B7,06/12/2019 11:40:26,LSSI3,1
01101746B7,06/12/2019 11:40:35,LSSI3,1
01101746B7,06/12/2019 11:40:44,LSSI3,1
01101746B7,06/12/2019 11:40:54,LSSI3,1
01101746B7,06/12/2019 11:41:03,LSSI3,1
01101746B7,06/12/2019 11:41:12,LSSI3,1
01101746B7,06/12/2019 11:41:22,LSSI3,1
01101746B7,06/12/2019 11:41:31,LSSI3,1
01101746B7,06/12/2019 11:41:39,LSSI3,1
01101746B7,06/12/2019 11:41:48,LSSI3,1
01101746B7,06/12/2019 11:41:56,LSSI3,1
01101746B7,06/12/2019 11:42:05,LSSI3,1
01101746B7,06/12/2019 11:42:13,LSSI3,1
01101746B7,06/12/2019 11:42:22,LSSI3,1
01101746B7,06/12/2019 11:42:32,LSSI3,1
01101746B7,06/12/2019 11:42:41,LSSI3,1
01101746B7,06/12/2019 11:42:51,LSSI3,1
01101746B7,06/12/2019 11:43:00,LSSI3,1
01101746B7,06/12/2019 11:43:10,LSSI3,1
01101746B7,06/12/2019 11:43:19,LSSI3,1
01101746B7,06/12/2019 11:43:27,LSSI3,1
01101746B7,06/12/2019 11:43:36,LSSI3,1
01101746B7,06/12/2019 11:43:46,LSSI3,1
01101746B7,06/12/2019 11:43:58,LSSI3,1
01101746B7,06/12/2019 11:44:07,LSSI3,2
0110174FBA,06/12/2019 11:51:10,LSSI3,2
0110174FBA,06/12/2019 11:51:35,LSSI3,2
0110174FBA,06/12/2019 11:51:49,LSSI3,2
0110174FBA,06/12/2019 11:51:58,LSSI3,2
0110174FBA,06/12/2019 11:52:07,LSSI3,2
0110174FBA,06/12/2019 11:52:56,LSSI3,2
0110174FBA,06/12/2019 11:53:09,LSSI3,1
011017181F,06/12/2019 12:37:46,LSSI3,1
011017181F,06/12/2019 12:37:55,LSSI3,1
011017181F,06/12/2019 12:38:09,LSSI3,1
011017181F,06/12/2019 12:38:25,LSSI3,1
011017181F,06/12/2019 12:38:42,LSSI3,2
011016FB06,06/12/2019 12:38:46,LSSI3,2
011016FB06,06/12/2019 12:38:55,LSSI3,1
011017181F,06/12/2019 12:39:04,LSSI3,2
011016FB06,06/12/2019 12:39:05,LSSI3,1
011017181F,06/12/2019 12:40:27,LSSI3,1
0110174FBA,06/12/2019 13:30:59,LSSI3,1
0110174FBA,06/12/2019 13:31:12,LSSI3,1
0110174FBA,06/12/2019 13:31:22,LSSI3,1
0110174FBA,06/12/2019 13:31:31,LSSI3,1
0110174FBA,06/12/2019 13:31:40,LSSI3,1
0110174FBA,06/12/2019 13:31:49,LSSI3,1
0110174FBA,06/12/2019 13:31:58,LSSI3,1
0110174FBA,06/12/2019 13:32:07,LSSI3,1
0110174FBA,06/12/2019 13:32:17,LSSI3,1
0110174FBA,06/12/2019 13:32:30,LSSI3,1
0110174FBA,06/12/2019 13:32:39,LSSI3,1
0110174FBA,06/12/2019 13:32:49,LSSI3,1
0110174FBA,06/12/2019 13:32:58,LSSI3,1
0110174FBA,06/12/2019 13:33:07,LSSI3,1
0110174FBA,06/12/2019 13:33:16,LSSI3,1
0110174FBA,06/12/2019 13:33:25,LSSI3,1
0110174FBA,06/12/2019 13:33:34,LSSI3,1
0110174FBA,06/12/2019 13:33:44,LSSI3,1
011016F9E7,06/12/2019 13:44:10,LSSI3,1
011016F9E7,06/12/2019 13:45:28,LSSI3,1
011016FE44,06/12/2019 14:00:24,LSSI3,1
011016FE44,06/12/2019 14:00:57,LSSI3,1
011016FE44,06/12/2019 14:01:58,LSSI3,1
011016FE44,06/12/2019 14:02:18,LSSI3,1
011016FE44,06/12/2019 14:02:39,LSSI3,1
011016FE44,06/12/2019 14:02:52,LSSI3,1
011016FE44,06/12/2019 14:03:02,LSSI3,1
011016FE44,06/12/2019 14:03:15,LSSI3,1
011016FE44,06/12/2019 14:03:24,LSSI3,1
011016FE44,06/12/2019 14:03:33,LSSI3,1
011016FE44,06/12/2019 14:03:42,LSSI3,1
011016FE44,06/12/2019 14:03:52,LSSI3,1
011016FE44,06/12/2019 14:04:01,LSSI3,1
011016FE44,06/12/2019 14:04:10,LSSI3,1
011016FE44,06/12/2019 14:04:19,LSSI3,1
011016FE44,06/12/2019 14:04:28,LSSI3,1
011016FE44,06/12/2019 14:04:38,LSSI3,1
011016FE44,06/12/2019 14:04:53,LSSI3,1
011016FE44,06/12/2019 14:05:05,LSSI3,1
011016FE44,06/12/2019 14:05:16,LSSI3,1
011016FE44,06/12/2019 14:05:25,LSSI3,1
011016FE44,06/12/2019 14:05:43,LSSI3,1
011016FE44,06/12/2019 14:05:52,LSSI3,1
011016FE44,06/12/2019 14:06:37,LSSI3,1
011016FE44,06/12/2019 14:06:55,LSSI3,1
011016FE44,06/12/2019 14:07:40,LSSI3,1
011016FE44,06/12/2019 14:07:49,LSSI3,2
011017181F,06/12/2019 14:08:04,LSSI3,2
011017181F,06/12/2019 14:08:13,LSSI3,2
011017181F,06/12/2019 14:08:23,LSSI3,2
011017181F,06/12/2019 14:08:32,LSSI3,2
011017181F,06/12/2019 14:08:41,LSSI3,2
011017181F,06/12/2019 14:08:50,LSSI3,1
011016FE44,06/12/2019 14:08:54,LSSI3,2
011017181F,06/12/2019 14:08:55,LSSI3,1
011016FE44,06/12/2019 14:08:59,LSSI3,2
011017181F,06/12/2019 14:09:00,LSSI3,2
011017181F,06/12/2019 14:09:10,LSSI3,2
011017181F,06/12/2019 14:09:19,LSSI3,2
011017181F,06/12/2019 14:09:28,LSSI3,2
011017181F,06/12/2019 14:09:38,LSSI3,2
011017181F,06/12/2019 14:09:47,LSSI3,2
011017181F,06/12/2019 14:09:56,LSSI3,2
011017181F,06/12/2019 14:10:05,LSSI3,2
011017181F,06/12/2019 14:10:14,LSSI3,2
011017181F,06/12/2019 14:10:23,LSSI3,2
011017181F,06/12/2019 14:10:32,LSSI3,2
011017181F,06/12/2019 14:10:41,LSSI3,2
011017181F,06/12/2019 14:10:51,LSSI3,2
011017181F,06/12/2019 14:11:00,LSSI3,2
011017181F,06/12/2019 14:11:09,LSSI3,2
011017181F,06/12/2019 14:11:18,LSSI3,2
011017181F,06/12/2019 14:11:27,LSSI3,2
0110174FBA,06/12/2019 14:12:10,LSSI3,2
0110174FBA,06/12/2019 14:14:58,LSSI3,2
0110174FBA,06/12/2019 14:15:07,LSSI3,2
0110174FBA,06/12/2019 14:15:19,LSSI3,2
0110174FBA,06/12/2019 14:15:28,LSSI3,2
0110174FBA,06/12/2019 14:15:37,LSSI3,2
0110174FBA,06/12/2019 14:15:46,LSSI3,2
0110174FBA,06/12/2019 14:15:55,LSSI3,2
0110174FBA,06/12/2019 14:16:04,LSSI3,2
0110174FBA,06/12/2019 14:16:13,LSSI3,2
0110174FBA,06/12/2019 14:16:23,LSSI3,2
0110174FBA,06/12/2019 14:16:32,LSSI3,2
0110174FBA,06/12/2019 14:16:41,LSSI3,2
0110174FBA,06/12/2019 14:16:50,LSSI3,2
0110174FBA,06/12/2019 14:16:59,LSSI3,2
0110174FBA,06/12/2019 14:17:23,LSSI3,2
0110174FBA,06/12/2019 14:17:32,LSSI3,2
0110174FBA,06/12/2019 14:17:41,LSSI3,2
0110174FBA,06/12/2019 14:17:52,LSSI3,2
0110174FBA,06/12/2019 14:18:01,LSSI3,2
0110174FBA,06/12/2019 14:18:11,LSSI3,2
0110174FBA,06/12/2019 14:18:20,LSSI3,2
0110174FBA,06/12/2019 14:18:37,LSSI3,1
011016FE44,06/12/2019 14:29:07,LSSI3,1
011016FE44,06/12/2019 14:30:26,LSSI3,1
011016FE44,06/12/2019 14:30:45,LSSI3,2
011016F9E7,06/12/2019 15:32:49,LSSI3,2
0110174FBA,06/12/2019 16:07:11,LSSI3,2
0110174FBA,06/12/2019 16:07:20,LSSI3,2
0110174FBA,06/12/2019 16:07:29,LSSI3,2
0110174FBA,06/12/2019 16:08:10,LSSI3,2
0110174FBA,06/12/2019 16:08:19,LSSI3,2
0110174FBA,06/12/2019 16:08:28,LSSI3,1
0110174FBA,06/12/2019 16:08:45,LSSI3,1
0110174FBA,06/12/2019 16:08:54,LSSI3,1
0110174FBA,06/12/2019 16:09:03,LSSI3,1
0110174FBA,06/12/2019 16:09:13,LSSI3,1
0110174FBA,06/12/2019 16:09:22,LSSI3,1
0110174FBA,06/12/2019 16:09:31,LSSI3,1
0110174FBA,06/12/2019 16:09:40,LSSI3,1
0110174FBA,06/12/2019 16:09:49,LSSI3,1
0110174FBA,06/12/2019 16:09:59,LSSI3,1
0110174FBA,06/12/2019 16:10:08,LSSI3,1
0110174FBA,06/12/2019 16:10:17,LSSI3,1
0110174FBA,06/12/2019 16:10:26,LSSI3,2
0110174FBA,06/12/2019 16:10:38,LSSI3,1
011017181F,06/12/2019 16:19:39,LSSI3,1
011017181F,06/12/2019 16:19:50,LSSI3,1
011016F9E7,06/12/2019 16:20:15,LSSI3,1
011016F9E7,06/12/2019 16:20:52,LSSI3,1
011016F9E7,06/12/2019 16:21:03,LSSI3,2
011016FB06,06/12/2019 16:34:08,LSSI3,2
011016FB06,06/12/2019 16:34:27,LSSI3,1
011017181F,06/12/2019 17:33:11,LSSI3,1
011017181F,06/12/2019 17:33:47,LSSI3,2
0110174FBA,06/12/2019 17:34:47,LSSI3,1
011016F9E7,06/12/2019 17:46:23,LSSI3,1
011016F9E7,06/12/2019 17:46:32,LSSI3,2
0110174FBA,06/12/2019 17:57:32,LSSI3,2
0110174FBA,06/12/2019 17:57:41,LSSI3,2
0110174FBA,06/12/2019 17:57:50,LSSI3,2
0110174FBA,06/12/2019 17:58:00,LSSI3,2
0110174FBA,06/12/2019 17:58:09,LSSI3,2
0110174FBA,06/12/2019 17:58:18,LSSI3,2
0110174FBA,06/12/2019 17:58:27,LSSI3,2
011016FB06,06/12/2019 18:14:15,LSSI3,2
011016FB06,06/12/2019 18:14:26,LSSI3,2
0110174FBA,06/12/2019 18:24:12,LSSI3,1
01101746B7,06/12/2019 18:33:35,LSSI3,1
01101746B7,06/12/2019 18:33:44,LSSI3,1
01101746B7,06/12/2019 18:33:53,LSSI3,1
01101746B7,06/12/2019 18:34:02,LSSI3,1
01101746B7,06/12/2019 18:34:12,LSSI3,1
01101746B7,06/12/2019 18:34:21,LSSI3,1
01101746B7,06/12/2019 18:34:30,LSSI3,1
01101746B7,06/12/2019 18:34:39,LSSI3,1
01101746B7,06/12/2019 18:34:48,LSSI3,1
01101746B7,06/12/2019 18:34:57,LSSI3,1
01101746B7,06/12/2019 18:35:07,LSSI3,1
01101746B7,06/12/2019 18:35:16,LSSI3,1
01101746B7,06/12/2019 18:35:25,LSSI3,1
01101746B7,06/12/2019 18:35:34,LSSI3,1
01101746B7,06/12/2019 18:35:43,LSSI3,1
01101746B7,06/12/2019 18:35:52,LSSI3,1
01101746B7,06/12/2019 18:36:01,LSSI3,1
01101746B7,06/12/2019 18:36:11,LSSI3,1
01101746B7,06/12/2019 18:36:20,LSSI3,1
01101746B7,06/12/2019 18:36:29,LSSI3,1
01101746B7,06/12/2019 18:36:38,LSSI3,1
01101746B7,06/12/2019 18:36:47,LSSI3,1
01101746B7,06/12/2019 18:36:56,LSSI3,1
01101746B7,06/12/2019 18:37:05,LSSI3,1
01101746B7,06/12/2019 18:37:15,LSSI3,1
01101746B7,06/12/2019 18:37:24,LSSI3,1
01101746B7,06/12/2019 18:37:35,LSSI3,1
01101746B7,06/12/2019 18:37:44,LSSI3,1
01101746B7,06/12/2019 18:37:53,LSSI3,1
01101746B7,06/12/2019 18:38:03,LSSI3,1
01101746B7,06/12/2019 18:38:12,LSSI3,1
01101746B7,06/12/2019 18:38:21,LSSI3,1
01101746B7,06/12/2019 18:38:30,LSSI3,1
01101746B7,06/12/2019 18:38:39,LSSI3,1
01101746B7,06/12/2019 18:38:48,LSSI3,1
01101746B7,06/12/2019 18:38:57,LSSI3,1
01101746B7,06/12/2019 18:39:06,LSSI3,1
01101746B7,06/12/2019 18:39:15,LSSI3,1
01101746B7,06/12/2019 18:39:24,LSSI3,1
01101746B7,06/12/2019 18:39:34,LSSI3,1
01101746B7,06/12/2019 18:39:43,LSSI3,1
01101746B7,06/12/2019 18:39:52,LSSI3,1
01101746B7,06/12/2019 18:40:01,LSSI3,1
01101746B7,06/12/2019 18:40:10,LSSI3,1
011016F9E7,06/12/2019 18:45:11,LSSI3,1
011016F9E7,06/12/2019 18:45:52,LSSI3,1
011016FE44,06/12/2019 18:53:01,LSSI3,1
011016FE44,06/12/2019 18:53:10,LSSI3,1
011016FE44,06/12/2019 18:53:19,LSSI3,1
011016FE44,06/12/2019 18:53:28,LSSI3,1
011016FE44,06/12/2019 18:53:37,LSSI3,1
011016FE44,06/12/2019 18:53:46,LSSI3,1
011016FE44,06/12/2019 18:53:55,LSSI3,1
011016FE44,06/12/2019 18:54:04,LSSI3,2
011017181F,06/12/2019 18:54:10,LSSI3,1
011016FE44,06/12/2019 18:54:12,LSSI3,2
011017181F,06/12/2019 18:54:15,LSSI3,1
011016FE44,06/12/2019 18:54:16,LSSI3,1
011016FE44,06/12/2019 18:54:24,LSSI3,2
011017181F,06/12/2019 18:54:25,LSSI3,2
011017181F,06/12/2019 18:54:34,LSSI3,1
011016FE44,06/12/2019 18:54:38,LSSI3,1
011016FE44,06/12/2019 18:54:51,LSSI3,2
0110171C23,06/12/2019 18:59:11,LSSI3,1
0110174FBA,06/12/2019 19:54:37,LSSI3,1
0110174FBA,06/12/2019 19:54:46,LSSI3,1
0110174FBA,06/12/2019 19:54:56,LSSI3,1
0110174FBA,06/12/2019 19:55:05,LSSI3,1
0110174FBA,06/12/2019 19:55:14,LSSI3,1
0110174FBA,06/12/2019 19:55:23,LSSI3,1
0110174FBA,06/12/2019 19:55:32,LSSI3,1
0110174FBA,06/12/2019 19:55:41,LSSI3,1
0110174FBA,06/12/2019 19:55:50,LSSI3,1
0110174FBA,06/12/2019 19:56:00,LSSI3,1
0110174FBA,06/12/2019 19:56:09,LSSI3,1
0110174FBA,06/12/2019 19:56:18,LSSI3,1
0110174FBA,06/12/2019 19:56:27,LSSI3,1
0110174FBA,06/12/2019 19:56:36,LSSI3,1
0110174FBA,06/12/2019 19:56:45,LSSI3,1
0110174FBA,06/12/2019 19:56:54,LSSI3,1
0110174FBA,06/12/2019 19:57:04,LSSI3,1
0110174FBA,06/12/2019 19:57:13,LSSI3,1
0110174FBA,06/12/2019 19:57:22,LSSI3,1
011016FB06,06/12/2019 19:57:28,LSSI3,1
011016FB06,06/12/2019 19:57:38,LSSI3,1
011016FB06,06/12/2019 19:57:47,LSSI3,1
011016FB06,06/12/2019 19:57:56,LSSI3,1
011017181F,06/12/2019 20:06:50,LSSI3,1
011016FE44,06/12/2019 20:41:38,LSSI3,1
011016FE44,06/12/2019 20:41:50,LSSI3,1
011016FE44,06/12/2019 20:41:59,LSSI3,1
011016FE44,06/12/2019 20:42:10,LSSI3,1
011016FE44,06/12/2019 20:42:20,LSSI3,1
011016FE44,06/12/2019 20:43:37,LSSI3,1
011016FE44,06/12/2019 20:43:48,LSSI3,1
011016FE44,06/12/2019 20:43:57,LSSI3,1
011016FE44,06/12/2019 20:44:32,LSSI3,1
011016FE44,06/12/2019 20:44:43,LSSI3,1
011016FE44,06/12/2019 20:44:52,LSSI3,1
011016FE44,06/12/2019 20:45:01,LSSI3,1
011016FE44,06/12/2019 20:45:11,LSSI3,1
011016FE44,06/12/2019 20:45:20,LSSI3,1
011016FE44,06/12/2019 20:45:29,LSSI3,1
011016FE44,06/12/2019 20:45:41,LSSI3,1
